Bird.ID,Deploy.Date,Data.End.Date,Age,Sex,Wing,Mass,H.B,TAG.type,X.ray.result,Tag.code,Ringing.location,S.N,Tag.Extant,Redeployed,UHF.Code,Current.Winter.site,Accelerometer.,2012.Gos,2013.Gos,2014.Gos,2015.Gos,2016.Gos,2017.Gos,2018.Gos,2019.Gos,2020.Gos,Notes
O5,24/02/2018,21/01/2019,A,F,403,2200,104,Ornitela GSM (x2 solar),NA,NA,WEXF,17780,N,N,NA,NA,Y,3,0,0,0,0,??,??,Na,Na,"RETRAP: WAS T4Y (14/03/2012, Wexford, A, F)"
17766,23/09/2017,09/05/2021,A,F,407,2150,106,Ornitela GSM (x2 solar),NA,NA,HVAN,17766,Y,N,NA,Wexford,Y,Na,Na,Na,Na,Na,??,??,??,,NA
17769,23/09/2017,27/01/2022,A,F,426,2400,113,Ornitela GSM (x2 solar),NA,NA,HVAN,17769,Y,N,NA,Wexford,Y,Na,Na,Na,Na,Na,??,??,??,,NA
17777,23/09/2017,27/01/2022,A,F,420,2250,108,Ornitela GSM (x2 solar),NA,NA,HVAN,17777,Y,N,NA,Wexford,Y,Na,Na,Na,Na,Na,??,??,??,,NA
17778,23/09/2017,03/05/2019,A,F,410,2050,101,Ornitela GSM (x2 solar),NA,NA,HVAN,17778,N,N,NA,NA,Y,Na,Na,Na,Na,Na,??,??,Na,Na,NA
A,25/09/2017,15/01/2018,Y,F,402,2150,104,Ornitela GSM (x2 solar),NA,A,HVAN,17785,N,N,NA,NA,Y,Na,Na,Na,Na,Na,B,Na,Na,Na,NA
I,25/09/2017,21/09/2019,Y,F,410,2100,102,Ornitela GSM (x2 solar),NA,I,HVAN,17812,N,N,NA,NA,Y,Na,Na,Na,Na,Na,B,??,??,,NA
C,25/09/2017,27/01/2022,A,F,421,2350,106,Ornitela GSM (x2 solar),NA,C,HVAN,17813,Y,N,NA,Wexford,Y,Na,Na,Na,Na,Na,0,??,??,,NA
E,25/09/2017,04/11/2018,A,F,414,2350,102,Ornitela GSM (x2 solar),NA,E,HVAN,17814,N,N,NA,NA,Y,Na,Na,Na,Na,Na,0,??,Na,Na,NA
H,25/09/2017,13/10/2017,A,F,415,2350,106,Ornitela GSM (x2 solar),NA,H,HVAN,17816,N,N,NA,NA,Y,Na,Na,Na,Na,Na,0,Na,Na,Na,NA
