tag_year,UK_dep,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep_aut,Ice_arrive_aut
ETA12_2017,2017-04-16,2017-04-17,2017,ETA12,2017-05-04,2017-05-06,2017-09-07,2017-09-08
HAR02_2016,2016-04-10,2016-04-11,2016,HAR02,2016-05-05,2016-05-07,2016-09-13,2016-09-14
HAR03_2015,2015-04-16,2015-04-18,2015,HAR03,2015-05-10,2015-05-12,NA,NA
HAR04_2015,2015-04-02,2015-04-03,2015,HAR04,2015-05-06,2015-05-08,2015-09-20,2015-09-21
PIFO02_2020,2020-04-10,2020-04-12,2020,PIFO02,2020-05-02,2020-05-06,2020-09-09,2020-09-12
PIFO10_2018,2018-04-18,2018-04-19,2018,PIFO10,2018-05-07,2018-05-11,NA,NA
PIFO16_2020,2020-04-10,2020-04-11,2020,PIFO16,2020-05-02,2020-05-06,2020-09-07,2020-09-09
PIFO30.2_2019,2019-03-31,2019-04-01,2019,PIFO30.2,2019-05-05,2019-05-06,2019-08-31,2019-09-03
PIFO30.2_2020,2020-04-04,2020-04-05,2020,PIFO30.2,NA,NA,NA,NA
PIFO47_2019,2019-04-07,2019-04-09,2019,PIFO47,2019-05-07,2019-05-10,2019-09-07,2019-09-09
PIFO50_2020,2020-04-05,2020-04-07,2020,PIFO50,2020-04-30,2020-05-01,2020-08-28,2020-09-02
PIFO53_2020,2020-04-05,2020-04-07,2020,PIFO53,2020-04-30,2020-05-01,2020-08-28,2020-09-02
PIFO53_2021,2021-04-01,2021-04-03,2021,PIFO53,2021-05-01,2021-05-02,2021-09-02,2021-09-05
PIFO60_2021,2021-04-11,2021-04-12,2021,PIFO60,NA,NA,NA,NA
UCOL01_2013,2013-04-09,2013-04-10,2013,UCOL01,NA,NA,NA,NA
UCOL04_2013,2013-04-19,2013-04-21,2013,UCOL04,2013-05-06,2013-05-09,2013-09-15,2013-09-16
UCOL09_2013,2013-04-13,2013-04-14,2013,UCOL09,NA,NA,NA,NA
UCOL20.2_2015,2015-04-17,2015-04-18,2015,UCOL20.2,2015-05-10,2015-05-11,2015-09-20,2015-09-29
