"Tag_year","UK_dep","Ice_arrive_spring","year","ID","Ice_dep_spring","Green_arrive","Green_dep","attempt_start","attempt_end","length","pre_breed_length","Acc","attempt","success24","successall","ordinal","staging_length","Age","Mass","Sex","Ringing.location","prev_success","breeding_lat","breeding_long","Green_centre","laying_centre","failure_centre"
"HAR04_2015","2015-04-02",2015-04-02,2015,"HAR04",2015-05-06,"2015-05-08","2015-09-20","2015-06-08","2015-06-22",15,31,"N",1,0,0,"late.fail",34,"A","2625","F","ISLA",1,67.92258,-51.35603,-3,-2,3.5
"HAR25_2017","2017-04-03",2017-04-07,2017,"HAR25",2017-05-04,"2017-05-07","2017-09-21","2017-06-07","2017-06-30",24,31,"N",1,1,1,"success",27,"A","2500","F","LOKE",1,67.48113,-53.48425,0.5,5.5,14
"WHIT01_2018","2018-04-14",2018-04-15,2018,"WHIT01",NA,"2018-05-19","2018-09-09","2018-06-02","2018-06-08",7,14,"N",1,0,0,"early.fail",NA,"A","2550","F","DYFI",1,68.23125,-51.67182,9,-6,-11
"WHIT02_2018","2018-04-10",2018-04-10,2018,"WHIT02",2018-05-07,"2018-05-09","2018-09-19","2018-06-10","2018-06-14",5,32,"N",1,0,0,"early.fail",27,"A","2350","F","DYFI",1,67.76472,-52.05245,-1,2,-5
"WHIT03_2017","2017-04-03",2017-04-04,2017,"WHIT03",2017-05-01,"2017-05-05","2017-09-06","2017-05-27","2017-06-02",7,22,"N",1,0,0,"early.fail",27,"A","2550","F","ISLA",1,66.91965,-50.22443,-1.5,-5.5,-14
"WHIT07_2017","2017-04-08",2017-04-11,2017,"WHIT07",2017-05-03,"2017-05-06","2017-09-13","2017-06-09","2017-07-02",24,34,"N",1,1,1,"success",22,"A","2225","F","ISLA",1,68.04745,-50.68402,-0.5,7.5,16
"WHIT09_2018","2018-04-12",2018-04-13,2018,"WHIT09",2018-05-09,"2018-05-11","2018-09-14","2018-06-11","2018-06-16",6,31,"N",1,0,0,"early.fail",26,"A","2375","F","ISLA",1,68.4711,-52.222675,1,3,-3
"WHIT10_2018","2018-03-29",2018-03-30,2018,"WHIT10",2018-05-07,"2018-05-09","2018-09-13","2018-06-11","2018-06-17",7,33,"N",1,0,0,"early.fail",38,"A","2575","F","ISLA",1,68.34667,-51.949,-1,3,-2
"WHIT10_2019","2019-04-07",2019-04-07,2019,"WHIT10",2019-05-05,"2019-05-06","2019-09-10","2019-05-26","2019-06-19",25,20,"N",1,1,1,"success",28,"A","2575","F","ISLA",1,68.34438,-51.99368,0,3,12
"WHIT16_2018","2018-04-13",2018-04-13,2018,"WHIT16",2018-05-08,"2018-05-10","2018-09-18","2018-06-04","2018-06-06",3,25,"N",1,0,0,"early.fail",25,"A","2125","F","ISLA",1,68.22221,-50.6807,0,-4,-13
"WHIT18_2018","2018-04-15",2018-04-15,2018,"WHIT18",2018-05-09,"2018-05-10","2018-09-09","2018-06-09","2018-06-11",3,30,"N",1,0,0,"early.fail",24,"A","2350","F","ISLA",1,68.29817,-52.09835,0,1,-8
"WHIT22_2019","2019-04-08",2019-04-09,2019,"WHIT22",2019-05-05,"2019-05-08","2019-09-07","2019-05-25","2019-06-20",27,17,"N",1,1,1,"success",26,"A","2425","F","ISLA",1,67.65942,-50.66978,2,2,13
"BLO21_2014","2014-04-15",2014-04-16,2014,"BLO21",2014-05-05,"2014-05-07","2014-09-11",NA,NA,0,NA,"N",0,NA,0,"defer",19,"A","2400","F","ISLA",1,NA,NA,1,NA,NA
"BLO21_2015","2015-04-17",2015-04-17,2015,"BLO21",2015-05-10,"2015-05-11","2015-09-14",NA,NA,0,NA,"N",0,NA,0,"defer",23,"A","2400","F","ISLA",1,NA,NA,0,NA,NA
"HAR26_2017","2017-04-09",2017-04-09,2017,"HAR26",2017-05-06,"2017-05-10","2017-09-05",NA,NA,0,NA,"N",0,NA,0,"defer",27,"A","2375","F","LOKE",1,NA,NA,3.5,NA,NA
"WHIT19_2018","2018-04-18",2018-04-19,2018,"WHIT19",2018-05-09,"2018-05-10","2018-09-14",NA,NA,0,NA,"N",0,NA,0,"defer",20,"A","2375","F","ISLA",1,NA,NA,0,NA,NA
